"date","city","SO2","CO","NO2","O3","PM10","SO2_d1_rate","SO2_d2_rate","SO2_d3_rate","SO2_d4_rate","CO_d1_rate","CO_d2_rate","CO_d3_rate","CO_d4_rate","O3_d1_rate","O3_d2_rate","O3_d3_rate","O3_d4_rate","NO2_d1_rate","NO2_d2_rate","NO2_d3_rate","NO2_d4_rate","PM10_d1_rate","PM10_d2_rate","PM10_d3_rate","PM10_d4_rate","temp","temp_range","rain","ws_mean","ws_max","ws_mont_max","dew_point_temp","humidity","air_press","sunshn_time","snow","cloud_amt","surface_temp"
"2010-01-12","서울",0.007,0.5,0.029,0.017,34,-0.142857142857143,-0.142857142857143,0,-0.142857142857143,-1,-1,-1.4,-1.2,0.705882352941176,0.823529411764706,0.823529411764706,0.764705882352941,-0.862068965517241,-1.20689655172414,-1.55172413793103,-1.3448275862069,-1.14705882352941,-1.05882352941176,-1.41176470588235,-1.32352941176471,-10.3,5.6,0,2.9,4.6,8.2,-18.5,52.1,1010.5,7.7,14,1.3,-1.1
"2010-01-13","서울",0.007,0.5,0.026,0.018,35,0,-0.142857142857143,-0.142857142857143,0,0,-1,-1,-1.4,0.0555555555555554,0.722222222222222,0.833333333333333,0.833333333333333,-0.115384615384615,-1.07692307692308,-1.46153846153846,-1.84615384615385,0.0285714285714286,-1.08571428571429,-1,-1.34285714285714,-13.2,4.6,0,3.2,5.6,9.1,-20.7,53.4,1013.1,9.1,13.5,0,-1.8
"2010-01-14","서울",0.007,0.8,0.054,0.004,47,0,0,-0.142857142857143,-0.142857142857143,0.375,0.375,-0.25,-0.25,-3.5,-3.25,-0.25,0.25,0.518518518518518,0.462962962962963,0,-0.185185185185185,0.25531914893617,0.276595744680851,-0.553191489361702,-0.48936170212766,-9.1,10.3,0,1.8,3.7,5.8,-16.5,55.8,1017.4,7.3,13,2.6,-1.8
"2010-01-15","서울",0.008,0.8,0.052,0.006,55,0.125,0.125,0.125,0,0,0.375,0.375,-0.25,0.333333333333333,-2,-1.83333333333333,0.166666666666667,-0.0384615384615385,0.5,0.442307692307692,-0.0384615384615385,0.145454545454545,0.363636363636364,0.381818181818182,-0.327272727272727,-5,6.9,0.3,2.4,4.5,7.8,-10.6,65.1,1019.8,6,13.6,4,-1
"2010-01-16","서울",0.008,0.9,0.057,0.005,58.5,0,0.125,0.125,0.125,0.111111111111111,0.111111111111111,0.444444444444444,0.444444444444444,-0.2,0.2,-2.6,-2.4,0.0877192982456141,0.0526315789473685,0.543859649122807,0.491228070175439,0.0598290598290598,0.196581196581197,0.401709401709402,0.418803418803419,-6.4,8,0,1.9,3.8,5.9,-15.1,52.5,1022.9,8.7,13,0.5,-1.4
"2010-01-17","서울",0.008,1,0.064,0.003,56,0,0,0.125,0.125,0.1,0.2,0.2,0.5,-0.666666666666667,-1,-0.333333333333333,-5,0.109375,0.1875,0.15625,0.59375,-0.0446428571428571,0.0178571428571429,0.160714285714286,0.375,-4,10.4,0,1.4,3.4,5.9,-10.7,61,1022.5,8.3,12.5,0.1,-1.4
"2010-01-18","서울",0.009,1.3,0.071,0.002,75,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.230769230769231,0.307692307692308,0.384615384615385,0.384615384615385,-0.5,-1.5,-2,-1,0.0985915492957745,0.197183098591549,0.267605633802817,0.23943661971831,0.253333333333333,0.22,0.266666666666667,0.373333333333333,-0.5,5.8,0,1.6,2.9,4.4,-5.4,69.6,1020.6,0.1,12.2,8.5,-0.7
"2010-01-19","서울",0.01,1.2,0.068,0.003,88,0.1,0.2,0.2,0.2,-0.0833333333333334,0.166666666666667,0.25,0.333333333333333,0.333333333333333,0,-0.666666666666667,-1,-0.0441176470588234,0.0588235294117648,0.161764705882353,0.235294117647059,0.147727272727273,0.363636363636364,0.335227272727273,0.375,2.7,8.4,3,2.2,3.5,6.1,-2.2,72.1,1016.9,4.3,12.1,7.6,-0.2
"2010-01-20","서울",0.007,1.7,0.069,0.002,61,-0.428571428571429,-0.285714285714286,-0.142857142857143,-0.142857142857143,0.294117647058824,0.235294117647059,0.411764705882353,0.470588235294118,-0.5,0,-0.5,-1.5,0.0144927536231884,-0.0289855072463766,0.0724637681159421,0.173913043478261,-0.442622950819672,-0.229508196721311,0.0819672131147541,0.040983606557377,5.8,6,7,1.7,5.3,8,5.3,96.5,1006.6,0,7.9,10,0.4
"2010-01-21","서울",0.004,0.5,0.025,0.017,41,-0.75,-1.5,-1.25,-1,-2.4,-1.4,-1.6,-1,0.882352941176471,0.823529411764706,0.882352941176471,0.823529411764706,-1.76,-1.72,-1.84,-1.56,-0.48780487804878,-1.14634146341463,-0.829268292682927,-0.365853658536585,-4.1,10.4,0.5,4.1,6.9,10.3,-10.7,60.8,1012.2,8.9,0,2.4,-0.4
